Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1521,2,3,2013,2.508741006,0,5,377511.2685
3961,5,2,2000,0.815015805,2,3,866877.3524
3113,5,2,1999,3.781556343,1,2,731331.6611
4343,3,3,1955,3.237840211,1,1,899382.8652
2000,3,1,2008,3.679854186,0,10,485622.4019
661,4,1,1964,2.1851618,0,3,147601.5516
4797,1,2,1979,2.162668703,2,1,986006.8617
2481,3,1,1991,0.703936755,0,1,509725.5507
1495,3,2,1986,2.074752228,2,1,346932.6209
3842,2,3,1991,4.68179781,1,8,863289.3969
4298,5,2,1984,2.206519417,2,3,919295.8541
1775,1,2,1955,4.241154678,2,1,406069.2709
1516,2,3,2017,4.290464771,2,7,397346.1109
837,4,1,1967,2.179585204,1,10,191117.1012
1378,4,2,2022,3.343949062,0,3,384461.3548
1576,3,2,1978,0.92917221,1,8,340980.7248
4493,3,3,2008,0.966553613,0,4,951093.547
879,4,1,1996,0.718959486,2,4,217010.4853
992,3,2,1966,3.11456792,2,5,248224.0197
2562,1,3,1971,2.417319399,2,6,538349.0962
4384,3,2,2017,2.966145605,2,7,985223.9967
564,5,3,2018,2.844829357,2,4,242865.9315
3068,3,1,1986,2.07591346,0,8,654466.9454
2527,2,1,1998,3.548630367,0,6,551967.8883
3195,1,1,1962,3.913258464,2,1,663904.9927
1995,2,1,1983,0.565827165,1,1,397482.748
891,2,2,2002,1.432590349,1,9,209632.8415
4974,5,2,2000,3.709561406,2,10,1107045.063
4061,1,1,1952,2.239790777,0,6,787420.4041
2778,1,1,1991,3.481177761,1,10,605371.7047
3599,1,1,1981,2.061331969,1,8,721018.0639
700,1,2,2000,2.258398185,1,7,199066.3789
3604,1,1,1995,1.214054932,2,6,730047.4974
2954,5,1,1970,1.662039588,1,4,627923.6172
4145,3,1,1993,3.224352909,1,7,898283.8867
1304,2,3,1960,2.449234001,1,9,277832.1057
3231,1,1,2017,3.984362073,1,10,731490.1175
3273,3,3,1950,4.336632297,0,10,688357.6485
2070,3,3,2012,2.937408882,2,7,525582.3102
3190,2,1,1973,3.912202814,2,1,684824.5349
4340,5,3,1962,1.881070309,0,10,903251.9406
1528,4,1,1960,2.367370469,0,9,323118.7393
1002,4,2,2000,3.707499543,2,4,307101.6858
4993,3,2,1966,2.237953968,1,3,1020324.757
1370,2,2,1973,3.148272208,1,4,304730.5062
4988,4,2,1968,1.334177506,2,4,1026397.297
706,3,3,1986,3.198970917,1,10,199414.9426
1984,5,1,1957,4.376811683,0,2,472657.6143
1363,4,1,1977,4.408878379,1,1,340069.2298
3290,3,1,1954,3.759549828,1,10,696709.4153
1063,3,2,1966,3.855890206,1,1,266533.0539
4691,1,2,1985,3.010673503,2,8,971514.762
2257,5,1,1968,3.131006406,0,2,501305.549
2178,1,2,2013,1.101427616,1,10,480961.442
3742,2,1,1960,2.497366348,2,5,758977.8819
1559,1,1,2003,2.528493277,1,4,364658.5286
2222,1,1,1994,4.813240261,0,8,515813.7578
3814,4,1,1996,2.439890882,1,2,834587.5118
3657,3,1,1961,2.972041902,0,10,747384.0608
3125,5,1,1970,2.899631297,1,9,667696.045
3229,1,1,1960,3.365427727,0,7,645145.5398
2097,5,2,1954,3.867047741,1,7,481368.1255
3560,1,1,2005,1.512688443,0,1,740148.1938
3193,2,1,1969,2.879259886,1,2,639073.1842
4127,1,2,1990,4.216629683,1,4,886568.3132
1863,4,2,1995,2.584016212,2,4,450941.1354
2481,3,2,1961,1.753058959,2,3,513720.4418
2163,2,1,2019,3.446190839,0,7,521205.601
2029,1,3,1966,4.206953281,1,8,455122.1
2538,5,3,1968,0.784131318,0,2,551463.8889
3802,2,2,1975,3.995557175,2,4,816173.7524
2737,2,3,1997,4.197415698,0,3,637736.0104
1806,1,2,2001,2.576853174,0,2,420203.4616
4529,2,1,2019,4.924875456,2,6,1026790.066
3175,5,3,2004,4.040187533,1,4,744681.3971
1782,2,1,1982,3.981481542,0,6,400585.4624
1209,5,3,2011,3.865273585,2,2,368327.4567
4913,1,1,1972,1.177736464,1,4,977158.5923
4248,3,3,1964,1.477538989,2,6,883626.6204
1163,2,1,1976,2.587955592,0,5,244030.4071
2498,3,1,2013,1.688019575,1,3,558598.6788
3945,5,3,2000,2.368584376,1,8,860329.4923
4243,2,1,2002,4.498088495,2,7,947490.7775
1995,4,1,2000,4.209471013,2,3,492018.3228
3804,3,1,1996,3.335179453,2,6,832386.3312
4263,2,3,1953,4.361541774,1,4,893926.6295
2353,3,3,1956,4.026975751,1,5,534464.912
1791,2,1,1984,2.430432193,0,5,355281.4185
4081,1,1,1997,1.404793184,1,7,834105.7943
3957,3,3,2022,2.81390468,0,5,885550.3826
2136,4,3,2021,3.813029971,2,3,551859.0857
4196,4,1,1994,2.463888194,2,10,922420.5884
3499,5,1,2021,3.500473594,1,5,804433.8093
3652,2,1,1968,0.924473418,2,7,734985.063
1198,3,2,2012,3.866021314,2,5,346152.8476
2660,5,3,1987,4.15721129,1,5,649973.3619
4597,3,2,2016,3.680770351,0,9,1006939.664
1354,2,3,2008,4.852686144,1,3,370260.6032
3974,4,3,2018,4.219934259,0,6,928059.713
2207,1,3,1962,4.563921775,1,1,492112.0397
3277,4,3,1996,4.701069876,1,10,752466.6747
2233,5,3,2010,4.106065963,2,5,573797.9393
4010,1,3,1980,3.534164789,1,8,854876.2984
702,5,3,1971,0.525733616,1,5,183663.6465
3755,2,2,1992,2.59621589,0,9,788150.9318
4718,1,1,2016,3.070230344,2,6,981510.8953
4996,5,1,2003,1.868136226,0,8,1070454.275
1266,2,2,1959,1.931470011,0,10,241968.8433
4889,4,2,1991,4.825217371,2,8,1064004.873
2827,2,2,2013,4.512698893,2,3,640767.2242
3431,3,2,1970,4.321305525,2,7,762159.3915
697,2,3,2015,2.327053108,1,7,216591.9711
2430,2,1,1990,0.561643477,2,10,497168.0883
4082,3,3,1973,0.861000109,2,6,857205.2453
1108,5,1,1984,1.904883657,2,7,285546.5017
3772,5,1,2005,0.570843108,0,2,819125.6471
1647,2,2,1979,0.577174019,0,9,316130.2556
4782,3,3,2006,4.624714857,1,10,1067425.217
3897,3,2,1996,3.67771326,0,10,837398.5651
3011,4,3,1984,1.890301955,1,1,658260.706
2294,5,1,1968,1.096900599,0,1,475767.3505
1159,1,2,1957,2.802360731,2,3,250101.5473
3311,5,2,1975,0.524057724,0,3,688516.5047
1869,5,1,2020,4.722861847,1,1,510876.9991
2486,4,1,1979,2.366668037,0,7,543734.4219
646,1,1,1956,2.310507299,2,4,146406.8963
3719,4,2,2016,2.257671234,1,10,828512.102
3411,1,3,2014,0.811977487,2,2,719969.4353
2234,2,2,1985,3.372450079,2,10,507847.5873
2343,1,3,1974,3.798516288,1,5,507554.9441
988,4,2,1986,3.542564289,2,6,294558.072
3476,5,2,1950,1.12295972,2,9,712212.2154
2459,1,1,1964,3.104780756,0,4,491715.9477
2885,1,3,1986,3.062680179,2,2,625227.0455
3419,3,2,1962,4.407848546,2,5,752101.9024
2302,5,2,1957,2.206074463,2,3,501913.6471
4561,2,1,1954,2.171686746,2,2,907358.633
3869,4,1,2009,3.283371764,1,1,878704.0956
762,2,3,2022,3.348826941,0,10,237070.7057
1123,5,2,1950,2.611783523,2,2,267132.4136
1516,1,3,1985,2.49376713,2,6,353129.5685
4143,1,2,1984,2.723664518,1,8,845141.6167
2549,5,3,2015,4.374703848,2,3,656223.1627
4223,1,1,2012,2.575251056,1,9,884677.6891
3608,1,2,1972,4.729693064,0,9,775773.2238
